learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.726401,9.56590300425887E-9,100.0,95.0,90.0079936051159,89.99999999999999,88.63636363636363,10100.0,50904.0
200.0,0.761479,1.0027841720730066E-8,200.0,97.0,93.98737348431706,93.81443298969072,92.7710843373494,10200.0,50904.0
300.0,0.78196,1.0297553986310959E-8,300.0,97.66666666666667,95.31166279692802,95.23809523809524,94.48818897637796,10300.0,50904.0
400.0,0.803094,1.0575865544378758E-8,400.0,98.25,96.48453194053837,96.41025641025642,95.97701149425288,10400.0,50904.0
500.0,0.822775,1.08350426889956E-8,500.0,98.4,96.77985477145019,96.7871485943775,96.31336405529953,10500.0,50904.0
600.0,0.841638,1.1083447672426701E-8,600.0,98.66666666666667,97.31342281127915,97.27891156462586,96.93486590038314,10600.0,50904.0
700.0,0.859161,1.1314206328243017E-8,700.0,98.85714285714286,97.70177209787167,97.67441860465115,97.42765273311896,10700.0,50904.0
800.0,0.877731,1.1558752823621034E-8,800.0,98.75,97.49110911793669,97.44245524296676,97.2451790633609,10800.0,50904.0
900.0,0.892363,1.1751440186053513E-8,900.0,98.88888888888889,97.77506390510896,97.73242630385488,97.62470308788599,10900.0,50904.0
1000.0,0.906902,1.1942902840673922E-8,1000.0,99.0,97.99686710014463,97.98387096774194,97.85867237687366,11000.0,50904.0
1100.0,0.919974,1.2115046717226504E-8,1100.0,99.5,98.99815660815902,98.97540983606558,98.9406779661017,11100.0,50904.0
1200.0,0.933799,1.2297106776386498E-8,1200.0,99.6,99.19918316683017,99.18200408997954,99.17184265010351,11200.0,50904.0
1300.0,0.947569,1.2478442545980214E-8,1300.0,99.7,99.39917807560744,99.37369519832984,99.37629937629937,11300.0,50904.0
1400.0,0.961185,1.265775030478835E-8,1400.0,99.7,99.399783922212,99.38271604938271,99.38775510204081,11400.0,50904.0
1500.0,0.974378,1.2831487618386744E-8,1500.0,99.8,99.5999743983615,99.57805907172997,99.60159362549801,11500.0,50904.0
1600.0,0.987324,1.3001972213387487E-8,1600.0,99.8,99.59972941708595,99.58419958419958,99.60396039603961,11600.0,50904.0
1700.0,1.000949,1.3181398492306468E-8,1700.0,99.8,99.59976946721312,99.581589958159,99.60474308300395,11700.0,50904.0
1800.0,1.014569,1.3360758926719425E-8,1800.0,99.9,99.79995518996255,99.79123173277662,99.80276134122288,11800.0,50904.0
1900.0,1.027247,1.3527714256197212E-8,1900.0,99.9,99.79999039953917,99.79296066252587,99.79797979797979,11900.0,50904.0
2000.0,1.040876,1.3707193210721014E-8,2000.0,99.8,99.599870357996,99.57983193277312,99.59758551307847,12000.0,50904.0
2100.0,1.052983,1.386662909761071E-8,2100.0,99.8,99.5992931531221,99.58419958419958,99.58932238193019,12100.0,50904.0
2200.0,1.065742,1.4034651108086108E-8,2200.0,99.8,99.59935897435898,99.58333333333333,99.59016393442623,12200.0,50904.0
2300.0,1.077985,1.4195877965539693E-8,2300.0,99.8,99.59915180521985,99.59016393442623,99.60079840319361,12300.0,50904.0
2400.0,1.090226,1.4357078485190867E-8,2400.0,99.8,99.59983993597439,99.5850622406639,99.60159362549801,12400.0,50904.0
2500.0,1.103067,1.452618034556508E-8,2500.0,99.8,99.6,99.58419958419958,99.59919839679358,12500.0,50904.0
2600.0,1.11558,1.4690962806344032E-8,2600.0,99.8,99.5999599959996,99.57446808510639,99.60079840319361,12600.0,50904.0
2700.0,1.128217,1.4857378210872412E-8,2700.0,99.8,99.5999599959996,99.57356076759062,99.59919839679358,12700.0,50904.0
2800.0,1.140607,1.5020540896803142E-8,2800.0,99.8,99.59996159631325,99.57446808510639,99.59349593495935,12800.0,50904.0
2900.0,1.153189,1.5186232011765244E-8,2900.0,99.8,99.5999951999424,99.56521739130434,99.5959595959596,12900.0,50904.0
3000.0,1.165142,1.534363988786936E-8,3000.0,99.9,99.79999519988479,99.78540772532189,99.79716024340772,13000.0,50904.0
3100.0,1.177223,1.5502733383327726E-8,3100.0,99.9,99.79972602520247,99.7867803837953,99.79838709677419,13100.0,50904.0
3200.0,1.189412,1.5663249120116236E-8,3200.0,99.8,99.59997599855991,99.56896551724138,99.60707269155206,13200.0,50904.0
3300.0,1.203796,1.585267059504986E-8,3300.0,99.8,99.60000159999359,99.57264957264957,99.60238568588468,13300.0,50904.0
3400.0,1.217339,1.6031017024070028E-8,3400.0,99.8,99.59980790779575,99.57356076759062,99.59349593495935,13400.0,50904.0
3500.0,1.231331,1.6215276289731268E-8,3500.0,99.7,99.39992799135896,99.3723849372385,99.39879759519037,13500.0,50904.0
3600.0,1.244281,1.638581356033683E-8,3600.0,99.7,99.39992799135896,99.39516129032258,99.40239043824701,13600.0,50904.0
3700.0,1.257153,1.65553236566484E-8,3700.0,99.7,99.39992799135896,99.39879759519037,99.40239043824701,13700.0,50904.0
3800.0,1.270141,1.672636134549976E-8,3800.0,99.8,99.5999743983615,99.60396039603961,99.59758551307847,13800.0,50904.0
3900.0,1.282163,1.6884677875787024E-8,3900.0,99.8,99.5999215846306,99.61089494163424,99.59514170040485,13900.0,50904.0
4000.0,1.293364,1.7032182738184934E-8,4000.0,99.8,99.5999935998976,99.61089494163424,99.60079840319361,14000.0,50904.0
4100.0,1.304218,1.7175117991864686E-8,4100.0,99.8,99.59953706484697,99.60317460317461,99.60317460317461,14100.0,50904.0
4200.0,1.315111,1.7318566832691437E-8,4200.0,99.9,99.8,99.80657640232108,99.79674796747967,14200.0,50904.0
4300.0,1.32609,1.7463148199021822E-8,4300.0,99.9,99.79999039953917,99.80506822612085,99.79508196721312,14300.0,50904.0
4400.0,1.337429,1.761247036978603E-8,4400.0,99.9,99.79996639435426,99.80806142034548,99.79716024340772,14400.0,50904.0
4500.0,1.348117,1.7753219585865744E-8,4500.0,100.0,100.0,100.0,100.0,14500.0,50904.0
4600.0,1.358894,1.7895140834152707E-8,4600.0,100.0,100.0,100.0,100.0,14600.0,50904.0
4700.0,1.369204,1.8030912205576904E-8,4700.0,100.0,100.0,100.0,100.0,14700.0,50904.0
4800.0,1.379667,1.8168698418885478E-8,4800.0,100.0,100.0,100.0,100.0,14800.0,50904.0
